period,party,label_l2,label_l3,meeting_count,mention_count
2017-Q3,국민의당,재난·안전,안전및재난,4,140
2017-Q3,국민의당,정부혁신·행정지원,정부혁신,2,3
2017-Q3,국민의당,지방재정·기타,지방재정,3,88
2017-Q3,더불어민주당,재난·안전,안전및재난,4,285
2017-Q3,더불어민주당,정부혁신·행정지원,정부의전,1,12
2017-Q3,더불어민주당,정부혁신·행정지원,정부혁신,2,3
2017-Q3,더불어민주당,지방재정·기타,지방재정,2,199
2017-Q3,더불어민주당,지방행정,지방행정,1,3
2017-Q3,미분류,재난·안전,안전및재난,4,663
2017-Q3,미분류,정부혁신·행정지원,안전행정행정지원,1,10
2017-Q3,미분류,정부혁신·행정지원,정부의전,1,23
2017-Q3,미분류,정부혁신·행정지원,정부혁신,2,21
2017-Q3,미분류,정부혁신·행정지원,조직관리,1,10
2017-Q3,미분류,지방재정·기타,지방재정,3,366
2017-Q3,미분류,지방행정,지방행정,2,17
2017-Q3,미분류,지방행정,지역균형발전,1,10
2017-Q3,새누리당,재난·안전,안전및재난,3,342
2017-Q3,새누리당,정부혁신·행정지원,안전행정행정지원,1,1
2017-Q3,새누리당,정부혁신·행정지원,조직관리,1,1
2017-Q3,새누리당,지방재정·기타,지방재정,2,248
2017-Q3,새누리당,지방행정,지방행정,1,1
2017-Q3,새누리당,지방행정,지역균형발전,1,1
2017-Q4,국민의당,재난·안전,안전및재난,3,132
2017-Q4,국민의당,정부혁신·행정지원,정부의전,2,93
2017-Q4,국민의당,정부혁신·행정지원,정부혁신,2,72
2017-Q4,국민의당,지방재정·기타,지방세,2,195
2017-Q4,국민의당,지방재정·기타,지방재정,1,76
2017-Q4,국민의당,지방행정,지방행정,1,10
2017-Q4,더불어민주당,재난·안전,안전및재난,4,792
2017-Q4,더불어민주당,정부혁신·행정지원,정부의전,3,311
2017-Q4,더불어민주당,정부혁신·행정지원,정부혁신,2,662
2017-Q4,더불어민주당,지방재정·기타,지방세,2,1802
2017-Q4,더불어민주당,지방재정·기타,지방재정,2,264
2017-Q4,더불어민주당,지방행정,지방행정,1,98
