회차,발언자유형,의원명,정당,소속기관,직위,발화내용 요약
353회,lawmaker,강석호,새누리당,국회 행정안전위원회,위원,강석호 위원은 공무원연금의 장기 재정 추계가 미흡하다며 대통령 공약에 따른 공무원 증원에 따른 연금 비용 추계를 국감 전까지 제출할 것을 요구했다. 또한 경찰청의 핵심 투자사업에 대한 명확한 설명과 성범죄 원스트라이크 아웃 제도 엄격 이행을 촉구했다.
353회,lawmaker,권은희,국민의당,국회 행정안전위원회,위원,"권은희는 경찰청장이 광주경찰의 SNS 게시글 삭제를 지시한 사건에 대해 행안부장관이 진상 규명과 감찰을 차단하고 예외를 허용한 점을 문제 삼으며, 정부의 적폐 청산 의지와 경찰의 독립성 확보를 촉구했다. 또한 행안부장관의 독자적 판단 여부와 청와대의 개입 가능성을 질타하며 철저한 진상 조사를 요구했다."
353회,government,김대년,,중앙선거관리위원회,사무총장,"김대년 위원은 2016회계연도 세입세출결산을 보고하며 선거관리의 공정성과 효율적 예산 집행을 강조하고, 민주주의 확산과 주권의식 앙양을 위한 제도 개선과 법적 근거 마련에 노력할 것을 약속했다. 또한 불용액과 이월액 처리, 예산 확보 및 기관운영경비 공개 문제에 대해 검토하고 설명하겠다고 답변했다."
353회,lawmaker,김부겸,더불어민주당,국회 행정안전위원회,장관,"김부겸 장관은 2016회계연도 행정안전부 결산과 예비비 집행 현황을 보고하며 재난안전 강화, 경찰 조직 개편, 민방위훈련 활성화 등 국민 안전과 행정 효율성 제고를 강조했다. 또한, 집회 관리와 공권력 행사 시 생존권 존중, 지방분권 추진 및 재정 분권 필요성을 언급하며 관련 제도 개선과 협의를 약속했다. 끝으로, 살충제 달걀 사태 등 국민 신뢰 회복을 위한 정부 차원의 조치와 투명한 정보 공개를 약속했다."
353회,government,김부년,,수석전문,위원,"김부년은 2016회계연도 행정안전부, 인사혁신처, 소방청 결산에서 예산 집행률은 높으나 실집행 저조, 과도한 예산 이·전용, 목적 외 사용, 과다 이월, 법령 미준수 사례가 발견되어 예산 집행의 적법성과 효율성 제고, 제도 개선 및 적정 예비비 편성 필요성을 강조하였다. 또한 공무원 교육과 연금 대부 운영 개선도 요청하였다."
353회,lawmaker,김영진,국민의당,국회 행정안전위원회,위원,"김영진 위원은 지방행정기관과 교육기관의 인구 감소 및 조직 변화 필요성을 지적하며, 조정교부금 삭감 문제와 여성·청소년 보호 예산 편성의 불균형 문제에 대한 대책 마련을 요청했다. 또한, 해외 ODA 사업의 민주주의 지원 실태 점검과 인사혁신처장의 계획 발표를 요구했다."
353회,lawmaker,김영호,새누리당,국회 행정안전위원회,위원,"김영호 의원은 노후 경찰헬기 현대화의 시급성을 강조하며, 결함이 많은 수리온(참수리) 헬기 납품 문제를 신중히 검토할 것을 요청했다. 또한, 수도권 지청장 비위 수사 지연과 영장청구 미흡 문제를 지적하며, 경찰이 적극적 수사와 영장청구로 신뢰 회복에 나설 것을 촉구했다."
353회,unknown,김판석,,,인사혁신처장,"김판석 인사혁신처장은 2016회계연도 결산과 예비비 사용 내역을 보고하며 공정한 인사관리와 혁신 가속화를 강조했다. 성과연봉제 확대에 신중한 입장을 밝히고, 공무원 교육훈련과 인사제도 ODA 사업 확대 계획을 설명했다. 비정규직 문제와 해외인력 채용 효율성 개선 등 현안에 대해 관계부처와 협력해 해결하겠다고 답변했다."
353회,lawmaker,박남춘,더불어민주당,국회 행정안전위원회,위원,"박남춘 위원은 소방공무원 근속승진 차별 해소와 공공아이핀 운영비 과다 지출 문제, 주민번호 법정수집주의 미완료를 지적하며 정부 차원의 근본적 개선과 점검을 요청했다. 또한 정부3.0 예산 집행의 비효율성과 경찰 범칙금 과다 징수 문제를 문제 삼고, 소방안전교부세의 국고지원사업 전용 문제에 대해 시정을 요구했다."
353회,lawmaker,박성중,새누리당,국회 행정안전위원회,위원,"박성중 의원은 스마트정부사업의 중복·유사 행정시스템과 앱 통합 필요성을 지적하며, 공공 앱 성과 측정 및 폐지 기준 마련을 촉구했다. 또한 해외공직자 설명회의 실효성 부족과 채용 실적 저조 문제를 문제 삼고, 경찰청 과태료 징수율 저조 및 속도위반 단속카메라의 교통사고 예방 효과 미미함을 들어 과태료 운영의 정당성 재검토와 개선을 요구했다."
