session_no,session_type,meeting_no,meeting_date,year,month,quarter,speaker_name,party,speaker_area,num_questions
353,임시회,1,2017-08-21,2017,8,3,강석호,새누리당,(경북 영양군영덕군봉화군울진군),15
353,임시회,1,2017-08-21,2017,8,3,권은희,국민의당,(광주 광산구을),13
353,임시회,1,2017-08-21,2017,8,3,김부겸,더불어민주당,,5
353,임시회,1,2017-08-21,2017,8,3,김영진,국민의당,(경기 수원시병),1
353,임시회,1,2017-08-21,2017,8,3,김영호,더불어민주당,(서울 서대문구을),11
353,임시회,1,2017-08-21,2017,8,3,박남춘,더불어민주당,(인천 남동구갑),12
353,임시회,1,2017-08-21,2017,8,3,박성중,미래통합당,(서울 서초구을),23
353,임시회,1,2017-08-21,2017,8,3,박순자,새누리당,(경기 안산시단원구을),14
353,임시회,1,2017-08-21,2017,8,3,소병훈,더불어민주당,(경기 광주시갑),7
353,임시회,1,2017-08-21,2017,8,3,유민봉,국민의당,(비례대표),10
353,임시회,1,2017-08-21,2017,8,3,윤재옥,미래통합당,(대구 달서구을),18
353,임시회,1,2017-08-21,2017,8,3,이명수,새누리당,(충남 아산시갑),15
353,임시회,1,2017-08-21,2017,8,3,이용호,더불어민주당,(전북 남원시임실군순창군),2
353,임시회,1,2017-08-21,2017,8,3,이재정,더불어민주당,(비례대표),3
353,임시회,1,2017-08-21,2017,8,3,장제원,미래통합당,(부산 사상구),19
353,임시회,1,2017-08-21,2017,8,3,진선미,더불어민주당,(서울 강동구갑),11
353,임시회,1,2017-08-21,2017,8,3,홍철호,국민의당,(경기 김포시을),7
353,임시회,2,2017-08-23,2017,8,3,강석호,새누리당,(경북 영양군영덕군봉화군울진군),3
353,임시회,2,2017-08-23,2017,8,3,권은희,국민의당,(광주 광산구을),5
353,임시회,2,2017-08-23,2017,8,3,김영진,국민의당,(경기 수원시병),9
353,임시회,2,2017-08-23,2017,8,3,김영호,더불어민주당,(서울 서대문구을),5
353,임시회,2,2017-08-23,2017,8,3,박남춘,더불어민주당,(인천 남동구갑),6
353,임시회,2,2017-08-23,2017,8,3,박성중,미래통합당,(서울 서초구을),12
353,임시회,2,2017-08-23,2017,8,3,박순자,새누리당,(경기 안산시단원구을),5
353,임시회,2,2017-08-23,2017,8,3,유민봉,국민의당,(비례대표),6
353,임시회,2,2017-08-23,2017,8,3,윤재옥,미래통합당,(대구 달서구을),3
353,임시회,2,2017-08-23,2017,8,3,이명수,새누리당,(충남 아산시갑),4
353,임시회,1,2017-08-21,2017,8,3,강석호,새누리당,(경북 영양군영덕군봉화군울진군),15
353,임시회,1,2017-08-21,2017,8,3,권은희,국민의당,(광주 광산구을),13
353,임시회,1,2017-08-21,2017,8,3,김부겸,더불어민주당,,5
353,임시회,1,2017-08-21,2017,8,3,김영진,국민의당,(경기 수원시병),1
353,임시회,1,2017-08-21,2017,8,3,김영호,더불어민주당,(서울 서대문구을),11
353,임시회,1,2017-08-21,2017,8,3,박남춘,더불어민주당,(인천 남동구갑),12
353,임시회,1,2017-08-21,2017,8,3,박성중,미래통합당,(서울 서초구을),23
353,임시회,1,2017-08-21,2017,8,3,박순자,새누리당,(경기 안산시단원구을),14
353,임시회,1,2017-08-21,2017,8,3,소병훈,더불어민주당,(경기 광주시갑),7
353,임시회,1,2017-08-21,2017,8,3,유민봉,국민의당,(비례대표),10
353,임시회,1,2017-08-21,2017,8,3,윤재옥,미래통합당,(대구 달서구을),18
353,임시회,1,2017-08-21,2017,8,3,이명수,새누리당,(충남 아산시갑),15
353,임시회,1,2017-08-21,2017,8,3,이용호,더불어민주당,(전북 남원시임실군순창군),2
353,임시회,1,2017-08-21,2017,8,3,이재정,더불어민주당,(비례대표),3
353,임시회,1,2017-08-21,2017,8,3,장제원,미래통합당,(부산 사상구),19
353,임시회,1,2017-08-21,2017,8,3,진선미,더불어민주당,(서울 강동구갑),11
353,임시회,1,2017-08-21,2017,8,3,홍철호,국민의당,(경기 김포시을),7
353,임시회,2,2017-08-23,2017,8,3,강석호,새누리당,(경북 영양군영덕군봉화군울진군),3
353,임시회,2,2017-08-23,2017,8,3,권은희,국민의당,(광주 광산구을),5
353,임시회,2,2017-08-23,2017,8,3,김영진,국민의당,(경기 수원시병),9
353,임시회,2,2017-08-23,2017,8,3,김영호,더불어민주당,(서울 서대문구을),5
353,임시회,2,2017-08-23,2017,8,3,박남춘,더불어민주당,(인천 남동구갑),6
353,임시회,2,2017-08-23,2017,8,3,박성중,미래통합당,(서울 서초구을),12
353,임시회,2,2017-08-23,2017,8,3,박순자,새누리당,(경기 안산시단원구을),5
353,임시회,2,2017-08-23,2017,8,3,유민봉,국민의당,(비례대표),6
353,임시회,2,2017-08-23,2017,8,3,윤재옥,미래통합당,(대구 달서구을),3
353,임시회,2,2017-08-23,2017,8,3,이명수,새누리당,(충남 아산시갑),4
354,정기회,1,2017-09-18,2017,9,3,권은희,국민의당,(광주 광산구을),4
354,정기회,1,2017-09-18,2017,9,3,김영진,국민의당,(경기 수원시병),5
354,정기회,1,2017-09-18,2017,9,3,김영호,더불어민주당,(서울 서대문구을),15
354,정기회,1,2017-09-18,2017,9,3,박남춘,더불어민주당,(인천 남동구갑),13
354,정기회,1,2017-09-18,2017,9,3,박성중,미래통합당,(서울 서초구을),8
354,정기회,1,2017-09-18,2017,9,3,박순자,새누리당,(경기 안산시단원구을),8
354,정기회,1,2017-09-18,2017,9,3,백재현,더불어민주당,(경기 광명시갑),10
354,정기회,1,2017-09-18,2017,9,3,소병훈,더불어민주당,(경기 광주시갑),8
354,정기회,1,2017-09-18,2017,9,3,유민봉,국민의당,(비례대표),7
354,정기회,1,2017-09-18,2017,9,3,윤재옥,미래통합당,(대구 달서구을),16
354,정기회,1,2017-09-18,2017,9,3,이재정,더불어민주당,(비례대표),3
354,정기회,1,2017-09-18,2017,9,3,장제원,미래통합당,(부산 사상구),6
354,정기회,1,2017-09-18,2017,9,3,진선미,더불어민주당,(서울 강동구갑),6
354,정기회,1,2017-09-18,2017,9,3,홍철호,국민의당,(경기 김포시을),20
354,정기회,1,2017-09-18,2017,9,3,황영철,새누리당,(강원 홍천군철원군화천군양구군인제군),8
354,정기회,2,2017-09-21,2017,9,3,윤재옥,미래통합당,(대구 달서구을),1
354,정기회,2,2017-09-21,2017,9,3,진선미,더불어민주당,(서울 강동구갑),1
354,정기회,3,2017-11-08,2017,11,4,권은희,국민의당,(광주 광산구을),3
354,정기회,3,2017-11-08,2017,11,4,김부겸,더불어민주당,,8
354,정기회,3,2017-11-08,2017,11,4,김영진,국민의당,(경기 수원시병),5
354,정기회,3,2017-11-08,2017,11,4,김영호,더불어민주당,(서울 서대문구을),7
354,정기회,3,2017-11-08,2017,11,4,박남춘,더불어민주당,(인천 남동구갑),17
354,정기회,3,2017-11-08,2017,11,4,박성중,미래통합당,(서울 서초구을),17
354,정기회,3,2017-11-08,2017,11,4,박순자,새누리당,(경기 안산시단원구을),13
354,정기회,3,2017-11-08,2017,11,4,소병훈,더불어민주당,(경기 광주시갑),13
354,정기회,3,2017-11-08,2017,11,4,유민봉,국민의당,(비례대표),30
354,정기회,3,2017-11-08,2017,11,4,윤재옥,미래통합당,(대구 달서구을),4
354,정기회,3,2017-11-08,2017,11,4,이명수,새누리당,(충남 아산시갑),22
354,정기회,3,2017-11-08,2017,11,4,이용호,더불어민주당,(전북 남원시임실군순창군),12
354,정기회,3,2017-11-08,2017,11,4,이재정,더불어민주당,(비례대표),2
354,정기회,3,2017-11-08,2017,11,4,장제원,미래통합당,(부산 사상구),12
354,정기회,3,2017-11-08,2017,11,4,진선미,더불어민주당,(서울 강동구갑),15
354,정기회,3,2017-11-08,2017,11,4,홍철호,국민의당,(경기 김포시을),10
354,정기회,3,2017-11-08,2017,11,4,황영철,새누리당,(강원 홍천군철원군화천군양구군인제군),12
354,정기회,4,2017-11-14,2017,11,4,강석호,새누리당,(경북 영양군영덕군봉화군울진군),3
354,정기회,4,2017-11-14,2017,11,4,김부겸,더불어민주당,,4
354,정기회,4,2017-11-14,2017,11,4,박남춘,더불어민주당,(인천 남동구갑),5
354,정기회,4,2017-11-14,2017,11,4,박성중,미래통합당,(서울 서초구을),25
354,정기회,4,2017-11-14,2017,11,4,박순자,새누리당,(경기 안산시단원구을),4
354,정기회,4,2017-11-14,2017,11,4,윤재옥,미래통합당,(대구 달서구을),2
354,정기회,4,2017-11-14,2017,11,4,장제원,미래통합당,(부산 사상구),17
354,정기회,4,2017-11-14,2017,11,4,황영철,새누리당,(강원 홍천군철원군화천군양구군인제군),8
354,정기회,5,2017-11-23,2017,11,4,강석호,새누리당,(경북 영양군영덕군봉화군울진군),7
354,정기회,5,2017-11-23,2017,11,4,김부겸,더불어민주당,,14
354,정기회,5,2017-11-23,2017,11,4,김영진,국민의당,(경기 수원시병),3
354,정기회,5,2017-11-23,2017,11,4,김영호,더불어민주당,(서울 서대문구을),2
354,정기회,5,2017-11-23,2017,11,4,박남춘,더불어민주당,(인천 남동구갑),10
354,정기회,5,2017-11-23,2017,11,4,박성중,미래통합당,(서울 서초구을),21
354,정기회,5,2017-11-23,2017,11,4,박순자,새누리당,(경기 안산시단원구을),7
354,정기회,5,2017-11-23,2017,11,4,소병훈,더불어민주당,(경기 광주시갑),5
354,정기회,5,2017-11-23,2017,11,4,유민봉,국민의당,(비례대표),12
354,정기회,5,2017-11-23,2017,11,4,윤재옥,미래통합당,(대구 달서구을),17
354,정기회,5,2017-11-23,2017,11,4,이명수,새누리당,(충남 아산시갑),10
354,정기회,5,2017-11-23,2017,11,4,이용호,더불어민주당,(전북 남원시임실군순창군),15
354,정기회,5,2017-11-23,2017,11,4,이재정,더불어민주당,(비례대표),4
354,정기회,5,2017-11-23,2017,11,4,장제원,미래통합당,(부산 사상구),24
354,정기회,5,2017-11-23,2017,11,4,진선미,더불어민주당,(서울 강동구갑),13
354,정기회,5,2017-11-23,2017,11,4,홍철호,국민의당,(경기 김포시을),7
354,정기회,5,2017-11-23,2017,11,4,황영철,새누리당,(강원 홍천군철원군화천군양구군인제군),16
354,정기회,6,2017-11-30,2017,11,4,강석호,새누리당,(경북 영양군영덕군봉화군울진군),2
354,정기회,6,2017-11-30,2017,11,4,김부겸,더불어민주당,,1
354,정기회,6,2017-11-30,2017,11,4,김영호,더불어민주당,(서울 서대문구을),3
354,정기회,6,2017-11-30,2017,11,4,박순자,새누리당,(경기 안산시단원구을),7
354,정기회,6,2017-11-30,2017,11,4,백재현,더불어민주당,(경기 광명시갑),2
354,정기회,6,2017-11-30,2017,11,4,소병훈,더불어민주당,(경기 광주시갑),1
354,정기회,6,2017-11-30,2017,11,4,윤재옥,미래통합당,(대구 달서구을),7
354,정기회,6,2017-11-30,2017,11,4,황영철,새누리당,(강원 홍천군철원군화천군양구군인제군),6
354,정기회,1,2017-09-18,2017,9,3,권은희,국민의당,(광주 광산구을),4
354,정기회,1,2017-09-18,2017,9,3,김영진,국민의당,(경기 수원시병),5
354,정기회,1,2017-09-18,2017,9,3,김영호,더불어민주당,(서울 서대문구을),15
354,정기회,1,2017-09-18,2017,9,3,박남춘,더불어민주당,(인천 남동구갑),13
354,정기회,1,2017-09-18,2017,9,3,박성중,미래통합당,(서울 서초구을),8
354,정기회,1,2017-09-18,2017,9,3,박순자,새누리당,(경기 안산시단원구을),8
354,정기회,1,2017-09-18,2017,9,3,백재현,더불어민주당,(경기 광명시갑),10
354,정기회,1,2017-09-18,2017,9,3,소병훈,더불어민주당,(경기 광주시갑),8
354,정기회,1,2017-09-18,2017,9,3,유민봉,국민의당,(비례대표),7
354,정기회,1,2017-09-18,2017,9,3,윤재옥,미래통합당,(대구 달서구을),16
354,정기회,1,2017-09-18,2017,9,3,이재정,더불어민주당,(비례대표),3
354,정기회,1,2017-09-18,2017,9,3,장제원,미래통합당,(부산 사상구),6
354,정기회,1,2017-09-18,2017,9,3,진선미,더불어민주당,(서울 강동구갑),6
354,정기회,1,2017-09-18,2017,9,3,홍철호,국민의당,(경기 김포시을),20
354,정기회,1,2017-09-18,2017,9,3,황영철,새누리당,(강원 홍천군철원군화천군양구군인제군),8
354,정기회,2,2017-09-21,2017,9,3,윤재옥,미래통합당,(대구 달서구을),1
354,정기회,2,2017-09-21,2017,9,3,진선미,더불어민주당,(서울 강동구갑),1
354,정기회,3,2017-11-08,2017,11,4,권은희,국민의당,(광주 광산구을),3
354,정기회,3,2017-11-08,2017,11,4,김부겸,더불어민주당,,8
354,정기회,3,2017-11-08,2017,11,4,김영진,국민의당,(경기 수원시병),5
354,정기회,3,2017-11-08,2017,11,4,김영호,더불어민주당,(서울 서대문구을),7
354,정기회,3,2017-11-08,2017,11,4,박남춘,더불어민주당,(인천 남동구갑),17
354,정기회,3,2017-11-08,2017,11,4,박성중,미래통합당,(서울 서초구을),17
354,정기회,3,2017-11-08,2017,11,4,박순자,새누리당,(경기 안산시단원구을),13
354,정기회,3,2017-11-08,2017,11,4,소병훈,더불어민주당,(경기 광주시갑),13
354,정기회,3,2017-11-08,2017,11,4,유민봉,국민의당,(비례대표),30
354,정기회,3,2017-11-08,2017,11,4,윤재옥,미래통합당,(대구 달서구을),4
354,정기회,3,2017-11-08,2017,11,4,이명수,새누리당,(충남 아산시갑),22
354,정기회,3,2017-11-08,2017,11,4,이용호,더불어민주당,(전북 남원시임실군순창군),12
354,정기회,3,2017-11-08,2017,11,4,이재정,더불어민주당,(비례대표),2
354,정기회,3,2017-11-08,2017,11,4,장제원,미래통합당,(부산 사상구),12
354,정기회,3,2017-11-08,2017,11,4,진선미,더불어민주당,(서울 강동구갑),15
354,정기회,3,2017-11-08,2017,11,4,홍철호,국민의당,(경기 김포시을),10
354,정기회,3,2017-11-08,2017,11,4,황영철,새누리당,(강원 홍천군철원군화천군양구군인제군),12
354,정기회,4,2017-11-14,2017,11,4,강석호,새누리당,(경북 영양군영덕군봉화군울진군),3
354,정기회,4,2017-11-14,2017,11,4,김부겸,더불어민주당,,4
354,정기회,4,2017-11-14,2017,11,4,박남춘,더불어민주당,(인천 남동구갑),5
354,정기회,4,2017-11-14,2017,11,4,박성중,미래통합당,(서울 서초구을),25
354,정기회,4,2017-11-14,2017,11,4,박순자,새누리당,(경기 안산시단원구을),4
354,정기회,4,2017-11-14,2017,11,4,윤재옥,미래통합당,(대구 달서구을),2
354,정기회,4,2017-11-14,2017,11,4,장제원,미래통합당,(부산 사상구),17
354,정기회,4,2017-11-14,2017,11,4,황영철,새누리당,(강원 홍천군철원군화천군양구군인제군),8
354,정기회,5,2017-11-23,2017,11,4,강석호,새누리당,(경북 영양군영덕군봉화군울진군),7
354,정기회,5,2017-11-23,2017,11,4,김부겸,더불어민주당,,14
354,정기회,5,2017-11-23,2017,11,4,김영진,국민의당,(경기 수원시병),3
354,정기회,5,2017-11-23,2017,11,4,김영호,더불어민주당,(서울 서대문구을),2
354,정기회,5,2017-11-23,2017,11,4,박남춘,더불어민주당,(인천 남동구갑),10
354,정기회,5,2017-11-23,2017,11,4,박성중,미래통합당,(서울 서초구을),21
354,정기회,5,2017-11-23,2017,11,4,박순자,새누리당,(경기 안산시단원구을),7
354,정기회,5,2017-11-23,2017,11,4,소병훈,더불어민주당,(경기 광주시갑),5
354,정기회,5,2017-11-23,2017,11,4,유민봉,국민의당,(비례대표),12
354,정기회,5,2017-11-23,2017,11,4,윤재옥,미래통합당,(대구 달서구을),17
354,정기회,5,2017-11-23,2017,11,4,이명수,새누리당,(충남 아산시갑),10
354,정기회,5,2017-11-23,2017,11,4,이용호,더불어민주당,(전북 남원시임실군순창군),15
354,정기회,5,2017-11-23,2017,11,4,이재정,더불어민주당,(비례대표),4
354,정기회,5,2017-11-23,2017,11,4,장제원,미래통합당,(부산 사상구),24
354,정기회,5,2017-11-23,2017,11,4,진선미,더불어민주당,(서울 강동구갑),13
354,정기회,5,2017-11-23,2017,11,4,홍철호,국민의당,(경기 김포시을),7
354,정기회,5,2017-11-23,2017,11,4,황영철,새누리당,(강원 홍천군철원군화천군양구군인제군),16
354,정기회,6,2017-11-30,2017,11,4,강석호,새누리당,(경북 영양군영덕군봉화군울진군),2
354,정기회,6,2017-11-30,2017,11,4,김부겸,더불어민주당,,1
354,정기회,6,2017-11-30,2017,11,4,김영호,더불어민주당,(서울 서대문구을),3
354,정기회,6,2017-11-30,2017,11,4,박순자,새누리당,(경기 안산시단원구을),7
354,정기회,6,2017-11-30,2017,11,4,백재현,더불어민주당,(경기 광명시갑),2
354,정기회,6,2017-11-30,2017,11,4,소병훈,더불어민주당,(경기 광주시갑),1
354,정기회,6,2017-11-30,2017,11,4,윤재옥,미래통합당,(대구 달서구을),7
354,정기회,6,2017-11-30,2017,11,4,황영철,새누리당,(강원 홍천군철원군화천군양구군인제군),6
355,임시회,2,2017-12-20,2017,12,4,강석호,새누리당,(경북 영양군영덕군봉화군울진군),4
355,임시회,2,2017-12-20,2017,12,4,권은희,국민의당,(광주 광산구을),1
355,임시회,2,2017-12-20,2017,12,4,김영진,국민의당,(경기 수원시병),1
355,임시회,2,2017-12-20,2017,12,4,김영호,더불어민주당,(서울 서대문구을),10
355,임시회,2,2017-12-20,2017,12,4,박성중,미래통합당,(서울 서초구을),6
355,임시회,2,2017-12-20,2017,12,4,박순자,새누리당,(경기 안산시단원구을),29
355,임시회,2,2017-12-20,2017,12,4,백재현,더불어민주당,(경기 광명시갑),5
355,임시회,2,2017-12-20,2017,12,4,소병훈,더불어민주당,(경기 광주시갑),6
355,임시회,2,2017-12-20,2017,12,4,유민봉,국민의당,(비례대표),2
355,임시회,2,2017-12-20,2017,12,4,윤재옥,미래통합당,(대구 달서구을),6
355,임시회,2,2017-12-20,2017,12,4,이명수,새누리당,(충남 아산시갑),11
355,임시회,2,2017-12-20,2017,12,4,이용호,더불어민주당,(전북 남원시임실군순창군),12
355,임시회,2,2017-12-20,2017,12,4,이재정,더불어민주당,(비례대표),1
355,임시회,2,2017-12-20,2017,12,4,장제원,미래통합당,(부산 사상구),11
355,임시회,2,2017-12-20,2017,12,4,진선미,더불어민주당,(서울 강동구갑),6
355,임시회,2,2017-12-20,2017,12,4,홍철호,국민의당,(경기 김포시을),4
355,임시회,3,2017-12-29,2017,12,4,강석호,새누리당,(경북 영양군영덕군봉화군울진군),2
355,임시회,3,2017-12-29,2017,12,4,박순자,새누리당,(경기 안산시단원구을),2
355,임시회,3,2017-12-29,2017,12,4,진선미,더불어민주당,(서울 강동구갑),1
355,임시회·폐회중,1,2018-01-10,2018,1,1,강석호,새누리당,(경북 영양군영덕군봉화군울진군),17
355,임시회·폐회중,1,2018-01-10,2018,1,1,김영호,더불어민주당,(서울 서대문구을),3
355,임시회·폐회중,1,2018-01-10,2018,1,1,박성중,미래통합당,(서울 서초구을),10
355,임시회·폐회중,1,2018-01-10,2018,1,1,윤재옥,미래통합당,(대구 달서구을),8
355,임시회·폐회중,1,2018-01-10,2018,1,1,이용호,더불어민주당,(전북 남원시임실군순창군),16
355,임시회·폐회중,1,2018-01-10,2018,1,1,진선미,더불어민주당,(서울 강동구갑),33
355,임시회·폐회중,1,2018-01-10,2018,1,1,황영철,새누리당,(강원 홍천군철원군화천군양구군인제군),28
355,임시회·폐회중,4,2018-01-10,2018,1,1,강석호,새누리당,(경북 영양군영덕군봉화군울진군),15
355,임시회·폐회중,4,2018-01-10,2018,1,1,권은희,국민의당,(광주 광산구을),27
355,임시회·폐회중,4,2018-01-10,2018,1,1,김병관,더불어민주당,(경기 성남시분당구갑),15
355,임시회·폐회중,4,2018-01-10,2018,1,1,김부겸,더불어민주당,,4
355,임시회·폐회중,4,2018-01-10,2018,1,1,김영진,국민의당,(경기 수원시병),21
355,임시회·폐회중,4,2018-01-10,2018,1,1,김영호,더불어민주당,(서울 서대문구을),18
355,임시회·폐회중,4,2018-01-10,2018,1,1,박남춘,더불어민주당,(인천 남동구갑),17
355,임시회·폐회중,4,2018-01-10,2018,1,1,박성중,미래통합당,(서울 서초구을),12
355,임시회·폐회중,4,2018-01-10,2018,1,1,박순자,새누리당,(경기 안산시단원구을),16
355,임시회·폐회중,4,2018-01-10,2018,1,1,소병훈,더불어민주당,(경기 광주시갑),15
355,임시회·폐회중,4,2018-01-10,2018,1,1,유민봉,국민의당,(비례대표),6
355,임시회·폐회중,4,2018-01-10,2018,1,1,윤재옥,미래통합당,(대구 달서구을),12
