period,party,label_l2,meeting_count,mention_count
2017-Q3,국민의당,재난·안전,1,52
2017-Q3,국민의당,정부혁신·행정지원,2,87
2017-Q3,국민의당,지방재정·기타,3,88
2017-Q3,더불어민주당,재난·안전,2,86
2017-Q3,더불어민주당,정부혁신·행정지원,2,210
2017-Q3,더불어민주당,지방재정·기타,2,199
2017-Q3,미분류,재난·안전,2,315
2017-Q3,미분류,정부혁신·행정지원,3,400
2017-Q3,미분류,지방재정·기타,3,376
2017-Q3,미분류,지방행정,1,10
2017-Q3,새누리당,재난·안전,1,94
2017-Q3,새누리당,정부혁신·행정지원,3,250
2017-Q3,새누리당,지방재정·기타,3,249
2017-Q3,새누리당,지방행정,1,1
2017-Q4,국민의당,재난·안전,2,87
2017-Q4,국민의당,정부혁신·행정지원,4,437
2017-Q4,국민의당,지방재정·기타,4,529
2017-Q4,국민의당,지방행정,2,82
2017-Q4,더불어민주당,재난·안전,2,811
2017-Q4,더불어민주당,정부혁신·행정지원,5,1469
2017-Q4,더불어민주당,지방재정·기타,5,3641
2017-Q4,더불어민주당,지방행정,2,760
2017-Q4,미분류,재난·안전,2,416
2017-Q4,미분류,정부혁신·행정지원,5,2610
2017-Q4,미분류,지방재정·기타,5,2452
2017-Q4,미분류,지방행정,2,368
2017-Q4,새누리당,재난·안전,2,532
2017-Q4,새누리당,정부혁신·행정지원,5,2241
2017-Q4,새누리당,지방재정·기타,5,2944
2017-Q4,새누리당,지방행정,2,496
2018-Q1,국민의당,재난·안전,2,100
2018-Q1,국민의당,정부혁신·행정지원,3,77
2018-Q1,국민의당,지방재정·기타,2,27
2018-Q1,국민의당,지방행정,1,31
2018-Q1,더불어민주당,인공지능·디지털 정부,1,3
2018-Q1,더불어민주당,재난·안전,4,694
2018-Q1,더불어민주당,정부혁신·행정지원,4,336
2018-Q1,더불어민주당,지방재정·기타,3,127
2018-Q1,더불어민주당,지방행정,2,4
2018-Q1,미분류,인공지능·디지털 정부,1,33
2018-Q1,미분류,재난·안전,4,829
2018-Q1,미분류,정부혁신·행정지원,5,462
2018-Q1,미분류,지방재정·기타,3,141
2018-Q1,미분류,지방행정,2,49
2018-Q1,새누리당,인공지능·디지털 정부,1,3
2018-Q1,새누리당,재난·안전,4,463
2018-Q1,새누리당,정부혁신·행정지원,4,281
2018-Q1,새누리당,지방재정·기타,2,76
2018-Q1,새누리당,지방행정,1,2
2018-Q2,국민의당,재난·안전,1,2
2018-Q2,국민의당,정부혁신·행정지원,1,67
2018-Q2,더불어민주당,재난·안전,1,7
2018-Q2,더불어민주당,정부혁신·행정지원,1,129
2018-Q2,미분류,재난·안전,1,16
2018-Q2,미분류,정부혁신·행정지원,1,342
2018-Q2,새누리당,재난·안전,1,6
2018-Q2,새누리당,정부혁신·행정지원,1,163
2018-Q3,국민의당,재난·안전,3,155
2018-Q3,국민의당,정부혁신·행정지원,6,189
2018-Q3,국민의당,지방재정·기타,3,64
2018-Q3,국민의당,지방행정,2,38
2018-Q3,더불어민주당,재난·안전,5,1127
2018-Q3,더불어민주당,정부혁신·행정지원,6,1009
2018-Q3,더불어민주당,지방재정·기타,3,385
2018-Q3,더불어민주당,지방행정,3,337
2018-Q3,미래통합당,재난·안전,1,34
2018-Q3,미분류,재난·안전,2,1806
2018-Q3,미분류,정부혁신·행정지원,6,1199
2018-Q3,미분류,지방재정·기타,3,440
2018-Q3,미분류,지방행정,2,31
2018-Q3,새누리당,재난·안전,3,667
2018-Q3,새누리당,정부혁신·행정지원,6,717
2018-Q3,새누리당,지방재정·기타,3,355
2018-Q3,새누리당,지방행정,2,160
2018-Q4,국민의당,재난·안전,3,1021
2018-Q4,국민의당,정부혁신·행정지원,3,303
2018-Q4,국민의당,지방재정·기타,6,3439
2018-Q4,국민의당,지방행정,2,11
2018-Q4,더불어민주당,재난·안전,4,3143
2018-Q4,더불어민주당,정부혁신·행정지원,3,1196
2018-Q4,더불어민주당,지방재정·기타,7,13435
2018-Q4,더불어민주당,지방행정,6,441
2018-Q4,미분류,재난·안전,4,1887
2018-Q4,미분류,정부혁신·행정지원,3,1116
2018-Q4,미분류,지방재정·기타,7,15923
2018-Q4,미분류,지방행정,3,413
2018-Q4,새누리당,재난·안전,4,1948
