period,party,label_l3,meeting_count,mention_count,party_meetings,party_total_chars,meeting_presence_rate,mentions_per_10k_chars
2017-Q3,국민의당,국가기록물,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,국가적중장기과제추진·지원,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,국민안전행정지원,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,복구지원,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,비상대비,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,안전및재난,1,52,3,36070,0.333333,14.416413
2017-Q3,국민의당,안전행정행정지원,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,이북5도,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,자치인력개발,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,재난예방,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,전자정부,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,정보시스템통합관리,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,정부의전,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,정부혁신,2,87,3,36070,0.666667,24.119767
2017-Q3,국민의당,조직관리,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,지방세,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,지방재정,3,88,3,36070,1.0,24.397006
2017-Q3,국민의당,지방행정,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,지역균형발전,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,청사관리,0,0,3,36070,0.0,0.0
2017-Q3,국민의힘,국가기록물,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,국가적중장기과제추진·지원,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,국민안전행정지원,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,복구지원,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,비상대비,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,안전및재난,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,안전행정행정지원,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,이북5도,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,자치인력개발,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,재난예방,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,전자정부,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,정보시스템통합관리,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,정부의전,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,정부혁신,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,조직관리,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,지방세,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,지방재정,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,지방행정,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,지역균형발전,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,청사관리,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,국가기록물,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,국가적중장기과제추진·지원,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,국민안전행정지원,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,복구지원,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,비상대비,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,안전및재난,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,안전행정행정지원,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,이북5도,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,자치인력개발,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,재난예방,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,전자정부,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,정보시스템통합관리,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,정부의전,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,정부혁신,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,조직관리,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,지방세,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,지방재정,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,지방행정,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,지역균형발전,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,청사관리,0,0,0,0,0.0,0.0
2017-Q3,더불어민주당,국가기록물,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,국가적중장기과제추진·지원,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,국민안전행정지원,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,복구지원,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,비상대비,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,안전및재난,2,86,3,69860,0.666667,12.310335
2017-Q3,더불어민주당,안전행정행정지원,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,이북5도,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,자치인력개발,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,재난예방,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,전자정부,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,정보시스템통합관리,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,정부의전,1,12,3,69860,0.333333,1.717721
2017-Q3,더불어민주당,정부혁신,1,198,3,69860,0.333333,28.342399
2017-Q3,더불어민주당,조직관리,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,지방세,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,지방재정,2,199,3,69860,0.666667,28.485543
2017-Q3,더불어민주당,지방행정,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,지역균형발전,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,청사관리,0,0,3,69860,0.0,0.0
2017-Q3,미래통합당,국가기록물,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,국가적중장기과제추진·지원,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,국민안전행정지원,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,복구지원,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,비상대비,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,안전및재난,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,안전행정행정지원,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,이북5도,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,자치인력개발,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,재난예방,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,전자정부,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,정보시스템통합관리,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,정부의전,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,정부혁신,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,조직관리,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,지방세,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,지방재정,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,지방행정,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,지역균형발전,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,청사관리,0,0,0,0,0.0,0.0
2017-Q3,미분류,국가기록물,0,0,3,139146,0.0,0.0
2017-Q3,미분류,국가적중장기과제추진·지원,0,0,3,139146,0.0,0.0
2017-Q3,미분류,국민안전행정지원,0,0,3,139146,0.0,0.0
2017-Q3,미분류,복구지원,0,0,3,139146,0.0,0.0
2017-Q3,미분류,비상대비,0,0,3,139146,0.0,0.0
2017-Q3,미분류,안전및재난,2,315,3,139146,0.666667,22.638092
2017-Q3,미분류,안전행정행정지원,0,0,3,139146,0.0,0.0
2017-Q3,미분류,이북5도,0,0,3,139146,0.0,0.0
2017-Q3,미분류,자치인력개발,0,0,3,139146,0.0,0.0
2017-Q3,미분류,재난예방,0,0,3,139146,0.0,0.0
2017-Q3,미분류,전자정부,0,0,3,139146,0.0,0.0
2017-Q3,미분류,정보시스템통합관리,0,0,3,139146,0.0,0.0
2017-Q3,미분류,정부의전,1,23,3,139146,0.333333,1.65294
2017-Q3,미분류,정부혁신,3,367,3,139146,1.0,26.375174
2017-Q3,미분류,조직관리,1,10,3,139146,0.333333,0.71867
2017-Q3,미분류,지방세,0,0,3,139146,0.0,0.0
2017-Q3,미분류,지방재정,3,376,3,139146,1.0,27.021977
2017-Q3,미분류,지방행정,0,0,3,139146,0.0,0.0
2017-Q3,미분류,지역균형발전,1,10,3,139146,0.333333,0.71867
2017-Q3,미분류,청사관리,0,0,3,139146,0.0,0.0
2017-Q3,새누리당,국가기록물,0,0,3,71951,0.0,0.0
2017-Q3,새누리당,국가적중장기과제추진·지원,0,0,3,71951,0.0,0.0
2017-Q3,새누리당,국민안전행정지원,0,0,3,71951,0.0,0.0
2017-Q3,새누리당,복구지원,0,0,3,71951,0.0,0.0
2017-Q3,새누리당,비상대비,0,0,3,71951,0.0,0.0
2017-Q3,새누리당,안전및재난,1,94,3,71951,0.333333,13.064447
2017-Q3,새누리당,안전행정행정지원,0,0,3,71951,0.0,0.0
2017-Q3,새누리당,이북5도,0,0,3,71951,0.0,0.0
2017-Q3,새누리당,자치인력개발,0,0,3,71951,0.0,0.0
2017-Q3,새누리당,재난예방,0,0,3,71951,0.0,0.0
2017-Q3,새누리당,전자정부,0,0,3,71951,0.0,0.0
2017-Q3,새누리당,정보시스템통합관리,0,0,3,71951,0.0,0.0
2017-Q3,새누리당,정부의전,0,0,3,71951,0.0,0.0
2017-Q3,새누리당,정부혁신,3,249,3,71951,1.0,34.606885
2017-Q3,새누리당,조직관리,1,1,3,71951,0.333333,0.138983
2017-Q3,새누리당,지방세,0,0,3,71951,0.0,0.0
2017-Q3,새누리당,지방재정,3,249,3,71951,1.0,34.606885
2017-Q3,새누리당,지방행정,0,0,3,71951,0.0,0.0
2017-Q3,새누리당,지역균형발전,1,1,3,71951,0.333333,0.138983
2017-Q3,새누리당,청사관리,0,0,3,71951,0.0,0.0
2017-Q3,새로운미래,국가기록물,0,0,0,0,0.0,0.0
2017-Q3,새로운미래,국가적중장기과제추진·지원,0,0,0,0,0.0,0.0
2017-Q3,새로운미래,국민안전행정지원,0,0,0,0,0.0,0.0
2017-Q3,새로운미래,복구지원,0,0,0,0,0.0,0.0
2017-Q3,새로운미래,비상대비,0,0,0,0,0.0,0.0
2017-Q3,새로운미래,안전및재난,0,0,0,0,0.0,0.0
2017-Q3,새로운미래,안전행정행정지원,0,0,0,0,0.0,0.0
2017-Q3,새로운미래,이북5도,0,0,0,0,0.0,0.0
2017-Q3,새로운미래,자치인력개발,0,0,0,0,0.0,0.0
2017-Q3,새로운미래,재난예방,0,0,0,0,0.0,0.0
2017-Q3,새로운미래,전자정부,0,0,0,0,0.0,0.0
2017-Q3,새로운미래,정보시스템통합관리,0,0,0,0,0.0,0.0
2017-Q3,새로운미래,정부의전,0,0,0,0,0.0,0.0
2017-Q3,새로운미래,정부혁신,0,0,0,0,0.0,0.0
