party,policy_l2,policy_l3,law_reform_scope,count
기본소득당,인공지능·디지털 정부,국가기록물,법 개정,1
기본소득당,재난·안전,안전및재난,제도 개선,1
기본소득당,재난·안전,재난예방,규정 변경,1
기본소득당,정부혁신·행정지원,안전행정행정지원,규정 변경,1
기본소득당,정부혁신·행정지원,정부의전,법 개정,1
기본소득당,정부혁신·행정지원,청사관리,규정 변경,1
기본소득당,지방재정·기타,지방세,규정 변경,8
기본소득당,지방재정·기타,지방세,법 개정,1
더불어민주당,인공지능·디지털 정부,국가기록물,규정 변경,4
더불어민주당,인공지능·디지털 정부,국가기록물,법 개정,11
더불어민주당,인공지능·디지털 정부,국가기록물,제도 개선,2
더불어민주당,인공지능·디지털 정부,전자정부,규정 변경,1
더불어민주당,재난·안전,과학수사,규정 변경,3
더불어민주당,재난·안전,과학수사,법 개정,7
더불어민주당,재난·안전,과학수사,제도 개선,1
더불어민주당,재난·안전,국민안전행정지원,법 개정,2
더불어민주당,재난·안전,국민안전행정지원,제도 개선,2
더불어민주당,재난·안전,복구지원,규정 변경,2
더불어민주당,재난·안전,복구지원,법 개정,4
더불어민주당,재난·안전,복구지원,제도 개선,1
더불어민주당,재난·안전,안전및재난,규정 변경,13
더불어민주당,재난·안전,안전및재난,법 개정,16
더불어민주당,재난·안전,안전및재난,제도 개선,15
더불어민주당,정부혁신·행정지원,국가적중장기과제추진·지원,제도 개선,1
더불어민주당,정부혁신·행정지원,안전행정행정지원,규정 변경,1
더불어민주당,정부혁신·행정지원,안전행정행정지원,법 개정,2
더불어민주당,정부혁신·행정지원,안전행정행정지원,제도 개선,3
더불어민주당,정부혁신·행정지원,정부의전,규정 변경,3
더불어민주당,정부혁신·행정지원,정부의전,법 개정,5
더불어민주당,정부혁신·행정지원,정부의전,제도 개선,1
더불어민주당,정부혁신·행정지원,조직관리,규정 변경,2
더불어민주당,정부혁신·행정지원,조직관리,법 개정,1
더불어민주당,정부혁신·행정지원,조직관리,제도 개선,1
더불어민주당,지방재정·기타,이북5도,규정 변경,1
더불어민주당,지방재정·기타,지방세,규정 변경,16
더불어민주당,지방재정·기타,지방세,법 개정,38
더불어민주당,지방재정·기타,지방세,제도 개선,5
더불어민주당,지방재정·기타,지방재정,규정 변경,1
더불어민주당,지방재정·기타,지방재정,법 개정,4
더불어민주당,지방재정·기타,지방재정,제도 개선,1
더불어민주당,지방행정,자치인력개발,규정 변경,1
더불어민주당,지방행정,자치인력개발,법 개정,2
더불어민주당,지방행정,자치인력개발,제도 개선,1
더불어민주당,지방행정,지방행정,규정 변경,3
더불어민주당,지방행정,지방행정,법 개정,11
더불어민주당,지방행정,지방행정,제도 개선,2
더불어민주당,지방행정,지역균형발전,규정 변경,2
더불어민주당,지방행정,지역균형발전,법 개정,9
미래통합당,인공지능·디지털 정부,국가기록물,제도 개선,1
미래통합당,재난·안전,과학수사,규정 변경,1
미래통합당,재난·안전,과학수사,법 개정,1
미래통합당,재난·안전,안전및재난,규정 변경,1
미래통합당,재난·안전,안전및재난,법 개정,3
미래통합당,재난·안전,안전및재난,제도 개선,6
미래통합당,정부혁신·행정지원,안전행정행정지원,규정 변경,1
미래통합당,정부혁신·행정지원,정부의전,법 개정,1
미래통합당,지방재정·기타,지방세,규정 변경,4
미래통합당,지방재정·기타,지방세,법 개정,21
미래통합당,지방재정·기타,지방재정,법 개정,2
미래통합당,지방행정,지방행정,법 개정,1
미래통합당,지방행정,지방행정,제도 개선,1
미래한국당,지방재정·기타,지방세,법 개정,3
미래한국당,지방재정·기타,지방세,제도 개선,1
미래한국당,지방재정·기타,지방재정,법 개정,1
미래한국당,지방행정,지방행정,법 개정,2
새누리당,인공지능·디지털 정부,국가기록물,규정 변경,1
새누리당,재난·안전,복구지원,규정 변경,1
새누리당,재난·안전,안전및재난,규정 변경,2
새누리당,지방재정·기타,지방세,법 개정,2
새누리당,지방행정,지방행정,법 개정,1
열린민주당,지방재정·기타,지방세,규정 변경,1
정의당,인공지능·디지털 정부,국가기록물,법 개정,1
정의당,재난·안전,과학수사,법 개정,2
정의당,재난·안전,비상대비,규정 변경,2
정의당,재난·안전,안전및재난,규정 변경,2
정의당,재난·안전,안전및재난,법 개정,1
정의당,정부혁신·행정지원,정부의전,규정 변경,1
정의당,지방재정·기타,지방세,규정 변경,1
정의당,지방재정·기타,지방세,법 개정,4
정의당,지방재정·기타,지방세,제도 개선,1
정의당,지방행정,지방행정,법 개정,1
