period,party,label_l2,label_l3,meeting_count,mention_count
2017-Q3,국민의당,재난·안전,안전및재난,1,52
2017-Q3,국민의당,정부혁신·행정지원,정부혁신,2,87
2017-Q3,국민의당,지방재정·기타,지방재정,3,88
2017-Q3,더불어민주당,재난·안전,안전및재난,2,86
2017-Q3,더불어민주당,정부혁신·행정지원,정부의전,1,12
2017-Q3,더불어민주당,정부혁신·행정지원,정부혁신,1,198
2017-Q3,더불어민주당,지방재정·기타,지방재정,2,199
2017-Q3,미분류,재난·안전,안전및재난,2,315
2017-Q3,미분류,정부혁신·행정지원,정부의전,1,23
2017-Q3,미분류,정부혁신·행정지원,정부혁신,3,367
2017-Q3,미분류,정부혁신·행정지원,조직관리,1,10
2017-Q3,미분류,지방재정·기타,지방재정,3,376
2017-Q3,미분류,지방행정,지역균형발전,1,10
2017-Q3,새누리당,재난·안전,안전및재난,1,94
2017-Q3,새누리당,정부혁신·행정지원,정부혁신,3,249
2017-Q3,새누리당,정부혁신·행정지원,조직관리,1,1
2017-Q3,새누리당,지방재정·기타,지방재정,3,249
2017-Q3,새누리당,지방행정,지역균형발전,1,1
2017-Q4,국민의당,재난·안전,안전및재난,2,87
2017-Q4,국민의당,정부혁신·행정지원,정부의전,2,93
2017-Q4,국민의당,정부혁신·행정지원,정부혁신,3,344
2017-Q4,국민의당,지방재정·기타,지방세,2,350
2017-Q4,국민의당,지방재정·기타,지방재정,2,179
2017-Q4,국민의당,지방행정,지방행정,2,82
2017-Q4,더불어민주당,재난·안전,안전및재난,2,811
2017-Q4,더불어민주당,정부혁신·행정지원,정부의전,3,311
2017-Q4,더불어민주당,정부혁신·행정지원,정부혁신,4,1158
2017-Q4,더불어민주당,지방재정·기타,지방세,2,3212
2017-Q4,더불어민주당,지방재정·기타,지방재정,3,429
2017-Q4,더불어민주당,지방행정,지방행정,2,760
2017-Q4,미분류,재난·안전,안전및재난,2,416
2017-Q4,미분류,정부혁신·행정지원,정부의전,3,580
2017-Q4,미분류,정부혁신·행정지원,정부혁신,4,2029
2017-Q4,미분류,정부혁신·행정지원,조직관리,1,1
2017-Q4,미분류,지방재정·기타,지방세,2,1360
2017-Q4,미분류,지방재정·기타,지방재정,3,1092
2017-Q4,미분류,지방행정,지방행정,2,368
2017-Q4,새누리당,재난·안전,안전및재난,2,532
2017-Q4,새누리당,정부혁신·행정지원,정부의전,3,345
2017-Q4,새누리당,정부혁신·행정지원,정부혁신,4,1896
2017-Q4,새누리당,지방재정·기타,지방세,2,2048
2017-Q4,새누리당,지방재정·기타,지방재정,3,896
2017-Q4,새누리당,지방행정,지방행정,2,496
2018-Q1,국민의당,재난·안전,국민안전행정지원,1,7
2018-Q1,국민의당,재난·안전,안전및재난,2,93
2018-Q1,국민의당,정부혁신·행정지원,국가적중장기과제추진·지원,1,3
2018-Q1,국민의당,정부혁신·행정지원,조직관리,2,74
2018-Q1,국민의당,지방재정·기타,지방재정,2,27
2018-Q1,국민의당,지방행정,지방행정,1,31
2018-Q1,더불어민주당,인공지능·디지털 정부,전자정부,1,2
2018-Q1,더불어민주당,인공지능·디지털 정부,정보시스템통합관리,1,1
2018-Q1,더불어민주당,재난·안전,국민안전행정지원,2,42
2018-Q1,더불어민주당,재난·안전,안전및재난,4,652
2018-Q1,더불어민주당,정부혁신·행정지원,국가적중장기과제추진·지원,2,52
2018-Q1,더불어민주당,정부혁신·행정지원,조직관리,2,284
2018-Q1,더불어민주당,지방재정·기타,지방재정,3,127
2018-Q1,더불어민주당,지방행정,지방행정,2,4
2018-Q1,미분류,인공지능·디지털 정부,전자정부,1,22
2018-Q1,미분류,인공지능·디지털 정부,정보시스템통합관리,1,11
