period,party,label_l2,meeting_count,mention_count,party_meetings,party_total_chars,meeting_presence_rate,mentions_per_10k_chars
2017-Q3,국민의당,인공지능·디지털 정부,0,0,3,36070,0.0,0.0
2017-Q3,국민의당,재난·안전,1,52,3,36070,0.333333,14.416413
2017-Q3,국민의당,정부혁신·행정지원,2,87,3,36070,0.666667,24.119767
2017-Q3,국민의당,지방재정·기타,3,88,3,36070,1.0,24.397006
2017-Q3,국민의당,지방행정,0,0,3,36070,0.0,0.0
2017-Q3,국민의힘,인공지능·디지털 정부,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,재난·안전,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,정부혁신·행정지원,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,지방재정·기타,0,0,0,0,0.0,0.0
2017-Q3,국민의힘,지방행정,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,인공지능·디지털 정부,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,재난·안전,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,정부혁신·행정지원,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,지방재정·기타,0,0,0,0,0.0,0.0
2017-Q3,기본소득당,지방행정,0,0,0,0,0.0,0.0
2017-Q3,더불어민주당,인공지능·디지털 정부,0,0,3,69860,0.0,0.0
2017-Q3,더불어민주당,재난·안전,2,86,3,69860,0.666667,12.310335
2017-Q3,더불어민주당,정부혁신·행정지원,2,210,3,69860,0.666667,30.06012
2017-Q3,더불어민주당,지방재정·기타,2,199,3,69860,0.666667,28.485543
2017-Q3,더불어민주당,지방행정,0,0,3,69860,0.0,0.0
2017-Q3,미래통합당,인공지능·디지털 정부,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,재난·안전,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,정부혁신·행정지원,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,지방재정·기타,0,0,0,0,0.0,0.0
2017-Q3,미래통합당,지방행정,0,0,0,0,0.0,0.0
2017-Q3,미분류,인공지능·디지털 정부,0,0,3,139146,0.0,0.0
2017-Q3,미분류,재난·안전,2,315,3,139146,0.666667,22.638092
2017-Q3,미분류,정부혁신·행정지원,3,400,3,139146,1.0,28.746784
