party,policy_l2,policy_l3,law_reform_scope,count
국민의힘,인공지능·디지털 정부,국가기록물,규정 변경,1
국민의힘,인공지능·디지털 정부,국가기록물,법 개정,2
국민의힘,재난·안전,과학수사,법 개정,1
국민의힘,재난·안전,안전및재난,법 개정,4
국민의힘,재난·안전,안전및재난,제도 개선,3
국민의힘,정부혁신·행정지원,정부의전,법 개정,1
국민의힘,정부혁신·행정지원,정부의전,제도 개선,1
국민의힘,정부혁신·행정지원,조직관리,법 개정,1
국민의힘,지방재정·기타,지방세,법 개정,2
국민의힘,지방재정·기타,지방재정,제도 개선,4
기본소득당,인공지능·디지털 정부,국가기록물,규정 변경,1
기본소득당,인공지능·디지털 정부,국가기록물,법 개정,2
기본소득당,재난·안전,과학수사,규정 변경,1
기본소득당,재난·안전,안전및재난,법 개정,1
기본소득당,정부혁신·행정지원,국가적중장기과제추진·지원,규정 변경,1
기본소득당,정부혁신·행정지원,국가적중장기과제추진·지원,제도 개선,1
기본소득당,지방재정·기타,지방세,법 개정,3
기본소득당,지방재정·기타,지방재정,제도 개선,1
기본소득당,지방행정,지방행정,규정 변경,2
더불어민주당,인공지능·디지털 정부,국가기록물,규정 변경,4
더불어민주당,인공지능·디지털 정부,국가기록물,법 개정,3
더불어민주당,인공지능·디지털 정부,국가기록물,제도 개선,1
더불어민주당,인공지능·디지털 정부,전자정부,제도 개선,1
더불어민주당,재난·안전,과학수사,규정 변경,1
더불어민주당,재난·안전,과학수사,법 개정,2
더불어민주당,재난·안전,복구지원,규정 변경,1
더불어민주당,재난·안전,비상대비,규정 변경,1
더불어민주당,재난·안전,비상대비,법 개정,1
더불어민주당,재난·안전,비상대비,제도 개선,2
더불어민주당,재난·안전,안전및재난,규정 변경,3
더불어민주당,재난·안전,안전및재난,법 개정,4
더불어민주당,재난·안전,안전및재난,제도 개선,5
더불어민주당,정부혁신·행정지원,안전행정행정지원,법 개정,2
더불어민주당,정부혁신·행정지원,정부의전,규정 변경,1
더불어민주당,정부혁신·행정지원,정부의전,법 개정,3
더불어민주당,정부혁신·행정지원,정부혁신,법 개정,1
더불어민주당,지방재정·기타,지방세,규정 변경,4
더불어민주당,지방재정·기타,지방세,법 개정,16
더불어민주당,지방재정·기타,지방세,제도 개선,2
더불어민주당,지방재정·기타,지방재정,규정 변경,1
더불어민주당,지방재정·기타,지방재정,법 개정,1
더불어민주당,지방재정·기타,지방재정,제도 개선,2
더불어민주당,지방행정,지방행정,법 개정,1
더불어민주당,지방행정,지방행정,제도 개선,1
더불어민주당,지방행정,지역균형발전,법 개정,1
조국혁신당,인공지능·디지털 정부,국가기록물,법 개정,1
조국혁신당,인공지능·디지털 정부,국가기록물,제도 개선,1
조국혁신당,재난·안전,과학수사,제도 개선,1
조국혁신당,재난·안전,비상대비,법 개정,2
조국혁신당,재난·안전,안전및재난,규정 변경,2
조국혁신당,재난·안전,안전및재난,법 개정,3
조국혁신당,재난·안전,안전및재난,제도 개선,2
조국혁신당,정부혁신·행정지원,안전행정행정지원,제도 개선,1
조국혁신당,정부혁신·행정지원,정부의전,법 개정,1
조국혁신당,지방재정·기타,지방세,규정 변경,1
조국혁신당,지방재정·기타,지방세,법 개정,1
