session_no,session_type,meeting_no,meeting_date,year,month,quarter,speaker_name,party,speaker_area,num_questions
379,임시회,1,2020-06-29,2020,6,2,김민석,더불어민주당,(서울 영등포구을),7
379,임시회,1,2020-06-29,2020,6,2,김영배,더불어민주당,(서울 성북구갑),4
379,임시회,1,2020-06-29,2020,6,2,박완주,더불어민주당,(충남 천안시을),9
379,임시회,1,2020-06-29,2020,6,2,박재호,더불어민주당,(부산 남구을),7
379,임시회,1,2020-06-29,2020,6,2,서영교,더불어민주당,(서울 중랑구갑),11
379,임시회,1,2020-06-29,2020,6,2,오영환,더불어민주당,(경기 의정부시갑),4
379,임시회,1,2020-06-29,2020,6,2,이해식,더불어민주당,(서울 강동구을),2
379,임시회,1,2020-06-29,2020,6,2,이형석,더불어민주당,(광주 북구을),6
379,임시회,1,2020-06-29,2020,6,2,임호선,더불어민주당,(충북 증평군진천군음성군),3
379,임시회,1,2020-06-29,2020,6,2,진영,더불어민주당,,2
379,임시회,1,2020-06-29,2020,6,2,한병도,더불어민주당,(전북 익산시을 ),1
380,임시회,1,2020-07-08,2020,7,3,권영세,미래통합당,(서울 용산구),1
380,임시회,1,2020-07-08,2020,7,3,서영교,더불어민주당,(서울 중랑구갑),7
380,임시회,1,2020-07-08,2020,7,3,이명수,새누리당,(충남 아산시갑),1
380,임시회,1,2020-07-08,2020,7,3,최춘식,미래통합당,(경기 포천시가평군),1
380,임시회,2,2020-07-20,2020,7,3,권영세,미래통합당,(서울 용산구),41
380,임시회,2,2020-07-20,2020,7,3,김민석,더불어민주당,(서울 영등포구을),17
380,임시회,2,2020-07-20,2020,7,3,김영배,더불어민주당,(서울 성북구갑),26
380,임시회,2,2020-07-20,2020,7,3,김용판,미래통합당,(대구 달서구병),25
380,임시회,2,2020-07-20,2020,7,3,박수영,미래통합당,(부산 남구갑),38
380,임시회,2,2020-07-20,2020,7,3,박완수,더불어민주당,(경남 창원시의창구),24
380,임시회,2,2020-07-20,2020,7,3,박완주,더불어민주당,(충남 천안시을),26
380,임시회,2,2020-07-20,2020,7,3,박재호,더불어민주당,(부산 남구을),32
380,임시회,2,2020-07-20,2020,7,3,서범수,미래통합당,(울산 울주군),51
380,임시회,2,2020-07-20,2020,7,3,서영교,더불어민주당,(서울 중랑구갑),19
380,임시회,2,2020-07-20,2020,7,3,양기대,더불어민주당,(경기 광명시을),14
380,임시회,2,2020-07-20,2020,7,3,오영환,더불어민주당,(경기 의정부시갑),10
380,임시회,2,2020-07-20,2020,7,3,오영훈,더불어민주당,(제주 제주시을),20
380,임시회,2,2020-07-20,2020,7,3,이명수,새누리당,(충남 아산시갑),25
380,임시회,2,2020-07-20,2020,7,3,이은주,정의당,(비례대표),16
380,임시회,2,2020-07-20,2020,7,3,이해식,더불어민주당,(서울 강동구을),28
380,임시회,2,2020-07-20,2020,7,3,이형석,더불어민주당,(광주 북구을),18
380,임시회,2,2020-07-20,2020,7,3,임호선,더불어민주당,(충북 증평군진천군음성군),20
380,임시회,2,2020-07-20,2020,7,3,최춘식,미래통합당,(경기 포천시가평군),38
380,임시회,2,2020-07-20,2020,7,3,한병도,더불어민주당,(전북 익산시을 ),4
380,임시회,3,2020-07-28,2020,7,3,김영배,더불어민주당,(서울 성북구갑),3
380,임시회,3,2020-07-28,2020,7,3,박완주,더불어민주당,(충남 천안시을),4
380,임시회,3,2020-07-28,2020,7,3,박재호,더불어민주당,(부산 남구을),13
380,임시회,3,2020-07-28,2020,7,3,서영교,더불어민주당,(서울 중랑구갑),9
380,임시회,3,2020-07-28,2020,7,3,양기대,더불어민주당,(경기 광명시을),7
