회차,발언자명,발언자유형,정당,소속기관,직위,소속_직위,발화내용 요약
379회,김민석,lawmaker,더불어민주당,국회 행정안전위원회,위원,,"김민석 의원은 코로나19로 인한 지방재정 악화를 우려하며, 지방교부세 감소에 대응해 지방채 발행 확대 외에 법 개정이나 유권해석 완화 등 선제적 대책 필요성을 제기했다. 또한, 디지털 뉴딜사업의 단기 일자리 지속 가능성 문제를 지적하며 구체적 방안 검토를 요청했다."
379회,김민철,government,,,위원,위원,"김민철 의원은 지방채 이자와 원금 부담, 교부세 삭감이 지방자치단체 재정에 부담을 준다며 교부세 삭감 최소화를 요청했다. 또한 소방공무원의 국가직 전환에 따른 인건비 외 후생복리 비용 부담이 지자체에 이중 부담을 준다며 소방안전교부세 삭감 문제를 재검토해 줄 것을 요구했다."
379회,김영배,lawmaker,더불어민주당,국회 행정안전위원회,위원,,"김영배 의원은 코로나 사태를 계기로 정부 혁신과 공공기관의 역할 중요성을 강조하며, 소방청의 음압특수구급차 보유 현황과 추가 보급 필요성을 질의했다. 메르스 당시 경험을 언급하며 국민 안전을 위해 음압구급차 확충을 요청했다."
379회,민갑룡,government,,경찰,청장,경찰 청장,"민갑룡 경찰청장은 2020년도 제3회 추가경정예산안에서 코로나19 대응과 아동안전지킴이 사업 감액 배경을 설명하며, 예산 감액은 선발 유예 등 불가피한 사정 때문임을 밝혔다. 아동 보호 협력 강화와 제도 개선을 약속하고, 코로나19 극복과 민생 치안 유지에 최선을 다할 것을 요청했다."
379회,박영수,government,,중앙선거관리위원회,사무총장,중앙선거관리위원회 사무총장,"박영수는 2020년도 제3회 중앙선거관리위원회 추가경정예산안이 코로나19와 선거 집행잔액으로 25억 7400만 원 감액 편성된 점을 설명했다. 감액 내역과 세부사업을 구체적으로 제시하며, 예산의 효율적 운용을 약속했다. 마지막으로 위원들의 배려에 감사하며 지속적인 관심과 지원을 요청했다."
379회,박완주,government,,,위원,위원,"박완주 의원은 지방재정법과 자치분권 실효성 강화, 경찰 개혁 마무리를 위해 행안위 활동에 적극 참여하겠다고 밝혔다. 지방교부세 감액과 관련해 지자체 의견 수렴 및 후속 조치의 꼼꼼한 관리 필요성을 강조했다. 또한 지역사랑상품권의 지속 가능성과 지자체 부담 경감을 위한 지원 확대를 요청했다."
379회,박재호,lawmaker,더불어민주당,국회 행정안전위원회,위원,,"박재호 의원은 코로나19 대응과 지방자치 강화 차원에서 행안부의 역할과 지방교부세 집행의 중요성을 강조하며, 희망일자리 사업의 구체적 수요조사와 중복성 문제 해결을 요청했다. 또한 폭염 대응과 지방자치단체 간 모범사례 공유를 통한 위기 극복을 당부했다."
379회,서영교,lawmaker,더불어민주당,국회 행정안전위원회,위원장,,"서영교 위원장은 21대 국회 행정안전위원회 첫 회의를 개의하며 추경안 신속 처리를 위해 일부 위원 불참에도 회의를 진행함을 양해 요청했다. 각 소관 기관장들의 추경안 제안설명과 전문위원 검토보고 후 대체토론을 거쳐 정부 원안대로 추경안을 의결하고, 예결위와의 협의 권한 위임을 요청해 동의를 받았다. 회의 마무리 인사와 서면질의 답변 제출 요청 후 회의를 종료했다."
379회,양기대,lawmaker,더불어민주당,국회 행정안전위원회,위원,,"양기대 의원은 코로나19로 인한 지방재정 어려움과 지방교부세 감액 문제를 지적하며, 지방채 발행 한도 완화와 적극적 지원을 요청했다. 또한 기초지자체의 실질 가용자원 파악과 코로나 피해 계층 우선 지원을 강조하며 행안부의 적극 행정을 촉구했다."
379회,오영환,lawmaker,더불어민주당,국회 행정안전위원회,위원,,"오영환 의원은 재해위험지역 조기경보시스템 강화와 지역사랑상품권 부작용 개선, 산불 진화 장비의 첨단화 필요성을 제기하며, 소방관의 정신질환 업무 관련성 인정 확대를 촉구했다. 집중호우·태풍 대비와 지역경제 활성화, 소방관 복지 개선을 위한 정부의 적극적 대응을 요청했다."
