회차,발언자유형,의원명,정당,소속기관,직위,발화내용 요약
415회,lawmaker,김성회,더불어민주당,국회 행정안전위원회,위원,"김성회 위원은 행안위 보좌진 경험을 바탕으로 다시 위원회에 참여하게 되어 책임감을 느끼며, 공무원과 경찰, 소방관 등 현장 인력 지원에 최선을 다하겠다고 밝혔다."
415회,lawmaker,모경종,더불어민주당,국회 행정안전위원회,위원,"모경종 의원은 행정안전위원회의 중요성을 강조하며, 총선 당선자들의 빠른 복귀와 협력을 촉구했다. 또한 공무원들의 정치적 중립 의무 준수를 강력히 요청하며, 정치행위 중단과 본연의 책임 수행을 당부했다. 위원회 차원의 엄정 대응도 요구했다."
415회,lawmaker,박정현,더불어민주당,국회 행정안전위원회,위원,"박정현 의원은 국민의힘 의원들이 총선 민의를 무시하고 국회에 불참하는 것을 비판하며, 현재 사회 위기에 신속히 대응하기 위해 국회 정상 가동을 촉구했다. 또한 분권과 균형발전 실현을 위해 행정안전위원회에서 적극 활동하겠다고 밝혔다."
415회,lawmaker,신정훈,더불어민주당,국회 행정안전위원회,위원장,"신정훈 위원장은 제22대 행정안전위원회 위원장으로서 지방 소멸 위기 극복과 국민 안전 강화의 중요성을 강조하며, 여야 협력과 정부의 업무보고 출석을 강력히 촉구했다. 간사 선임과 정부 부처 업무보고 요구를 의결하며 국회와 정부의 책임 있는 협조를 요청했다."
415회,lawmaker,양부남,더불어민주당,국회 행정안전위원회,위원,"양부남 위원은 국민 생명과 안전을 최우선 가치로 강조하며, 행정안전위원회가 당리당략에 휘둘리지 않고 신속히 회의를 열어 민생회복지원법 처리와 국민 안전 대책에 나설 것을 촉구했다. 또한, 행안위 소속 공무원들이 중립성을 지키지 않고 정권 편향적 태도를 보이는 점을 비판하며, 국민 공복으로서 업무보고와 기관 출석에 성실히 임할 것을 요구했다."
415회,lawmaker,용혜인,기본소득당,국회 행정안전위원회,위원,"용혜인 의원은 국민의힘의 국회 발목잡기에도 법과 원칙에 따른 위원회 운영을 요청하며, 김순호 전 경찰국장 관련 추모연대 사무실 압수수색이 부당하다고 지적했다. 민주화 열사 유가족들의 항의와 함께 해당 사안에 대한 업무보고 및 현안질의를 요구했다."
415회,lawmaker,위성곤,더불어민주당,국회 행정안전위원회,위원,위성곤 위원은 국민의힘의 회의 불출석을 국민에 대한 책임 회피로 비판하며 조속한 복귀와 협력을 촉구했다. 그는 지방분권과 지방소멸 위기 대응의 중요성을 강조했다. 또한 농해수위 경험을 바탕으로 위원회 활동에 최선을 다하겠다고 밝혔다.
415회,lawmaker,윤건영,더불어민주당,국회 행정안전위원회,위원,"윤건영 의원은 행안부 및 소속 기관들의 업무보고와 자료제출 비협조를 강하게 문제제기하며, 국회의 권능에 대한 도전으로 규정했다. 서민 안전과 현안 해결을 위해 행안부의 적극적 협조를 촉구하고, 위원장에게 기관장들에 대한 엄중 경고를 요청했다."
415회,lawmaker,이광희,더불어민주당,국회 행정안전위원회,위원,"이광희 의원은 정부 부처와 여당 위원의 불참으로 반쪽 회의가 된 점을 강력히 비판하며, 국민 생명과 안전을 최우선 과제로 삼아 이태원 참사, 오송 지하차도 참사 등 주요 사건의 은폐·축소 의혹을 철저히 조사할 것을 촉구했다. 또한 지방소멸 위기를 생명 문제로 인식하고 행안위에서 적극적인 의정활동을 다짐했다."
415회,lawmaker,이상식,더불어민주당,국회 행정안전위원회,위원,"이상식 위원은 행정안전위원회에서 공직 경쟁력 강화, 국민 안전, 지역균형발전, 정치·선거제도 개혁 등 중요한 과제를 수행함을 강조했다. 여당 위원들의 불참에 대해 국민께 죄송함을 표하며 조속한 참여를 촉구했다. 공직 경험을 바탕으로 위원회 활동에 임하는 소감을 밝혔다."
415회,lawmaker,이해식,더불어민주당,국회 행정안전위원회,위원,"이해식 위원은 21대 국회에 이어 22대 국회에서도 행정안전위원회 위원으로 활동하게 된 것을 기쁘게 생각하며, 신정훈 위원장과 윤건영 간사 등 위원들과 함께 열심히 임할 것을 다짐했다."
415회,lawmaker,정춘생,조국혁신당,국회 행정안전위원회,위원,정춘생 의원은 22대 총선에서 국민이 윤석열 정권을 심판했으나 정부 여당이 민심을 제대로 인식하지 못하고 국회 보이콧으로 민심을 외면하고 있다고 비판했다. 그는 현장의 고통 해결을 위해 정부 여당이 조속히 국회로 복귀해 의정활동에 전념할 것을 촉구했다.
