회의회차,요구자명,요구자정당,대상,실제요구자료,카테고리
415회,박정현,더불어민주당,경찰청,정보보호과 신설과 전문인력 증원 등 보안 강화 조치의 구체적인 내용을 의원실에 자료로 제출해 달라는 요구,재난·안전
415회,박정현,더불어민주당,중앙선거관리위원회,선거공보물 누락 및 중복 발송 문제에 대한 대책을 구체적으로 수립하여 제출해 달라는 요구,정책·제도
415회,양부남,더불어민주당,중앙선거관리위원회,"최근 5년 동안 지방선거, 총선, 대통령선거를 앞두고 1~3개월 전에 휴직한 선관위 직원 수와 같은 기간 동안 선거가 없던 시기의 휴직자 수를 비교하기 위한 통계자료 제출 요구",통계·현황
415회,양부남,더불어민주당,소방청,인허가 당시 아리셀 공장 설계도면에 대해 소방관서가 인허가 전에 제시한 검토의견서를 서면으로 제출해 달라는 자료 제출 요구,재난·안전
415회,용혜인,기본소득당,소방청,화재 참사 대응 과정에서 소방의 예방조치와 관련하여 불법 개조 정황 및 소방시설 자체점검 결과의 문제점을 확인하기 위해 관련 소방시설 자체점검 결과 보고서와 소방활동 자료조사서 제출 요구,재난·안전
415회,용혜인,기본소득당,소방청,"화재안전조사 대상 선정과 관련하여 산업단지, 외국인 고용사업장, 자원순환시설 23곳 중 아리셀이 포함되지 않은 점을 확인하기 위해 화재안전조사 관련 자료 제출 요구",재난·안전
415회,용혜인,기본소득당,소방청,김포 화재 당시 경보설비가 제대로 작동했는지 여부를 확인하기 위해 경보설비 작동 관련 자료 제출 요구,재난·안전
415회,위성곤,더불어민주당,행정안전부,2018년부터 2024년까지 리튬 배터리 관련 화재 사고 주요 현황과 정부가 마련했던 관련 대책에 대한 자료 제출 요구,재난·안전
415회,이광희,더불어민주당,행정안전부 산하 정부청사관리본부,"대통령 관저 증축공사 계약 관련 수의계약사유서, 경위서, 계약서, 준공내역서, 시공업체 적격심사서류 등을 제출하여 계약의 적정성을 검증하기 위해 자료 제출 요구",감사·점검
416회,박정현,더불어민주당,경찰청,해병대 수사단의 해병대원 사망사건 이첩과 국방부 검찰단의 이첩 서류 회수와 관련한 이첩 공문 및 반환 요구 공문을 제출하여 자료 제출 거부 사유의 적법성을 검증하기 위해 자료 제출 요구,범죄·치안
416회,박정현,더불어민주당,경찰청,공수처에서 수사 중이라는 근거자료를 제출하여 수사 대상 여부를 확인하기 위해 자료 제출 요구,범죄·치안
416회,박정현,더불어민주당,경북경찰청,임성근 사단장 수사심의위원회 회의록을 제출하여 수사심의위원회 결정 과정의 투명성을 확보하기 위해 자료 제출 요구,범죄·치안
416회,박정현,더불어민주당,경북경찰청,임성근 사단장 핸드폰 압수 및 수사 관련 서류를 제출하여 핵심 피의자 수사 진행 상황과 수사 적법성을 확인하기 위해 자료 제출 요구,범죄·치안
416회,박정현,더불어민주당,경찰청,임성근 사단장 관련 수사 서류 중 핵심 확인이 필요한 서류를 제출하여 수사 전환 경위와 적법성을 검증하기 위해 자료 제출 요구,범죄·치안
