회차,발언자명,발언자유형,정당,소속기관,직위,소속_직위,발화내용 요약
353회,강석호,lawmaker,새누리당,국회 행정안전위원회,위원,,강석호 위원은 공무원연금의 장기 재정 추계가 미흡하다며 대통령 공약에 따른 공무원 증원에 따른 연금 비용 추계를 국감 전까지 제출할 것을 요구했다. 또한 경찰청의 핵심 투자사업에 대한 명확한 설명과 성범죄 원스트라이크 아웃 제도 엄격 이행을 촉구했다.
353회,권은희,lawmaker,국민의당,국회 행정안전위원회,위원,,"권은희는 경찰청장이 광주경찰의 SNS 게시글 삭제를 지시한 사건에 대해 행안부장관이 진상 규명과 감찰을 차단하고 예외를 허용한 점을 문제 삼으며, 정부의 적폐 청산 의지와 경찰의 독립성 확보를 촉구했다. 또한 행안부장관의 독자적 판단 여부와 청와대의 개입 가능성을 질타하며 철저한 진상 조사를 요구했다."
353회,김대년,government,,중앙선거관리위원회,사무총장,중앙선거관리위원회 사무총장,"김대년 위원은 2016회계연도 세입세출결산을 보고하며 선거관리의 공정성과 효율적 예산 집행을 강조하고, 민주주의 확산과 주권의식 앙양을 위한 제도 개선과 법적 근거 마련에 노력할 것을 약속했다. 또한 불용액과 이월액 처리, 예산 확보 및 기관운영경비 공개 문제에 대해 검토하고 설명하겠다고 답변했다."
353회,김부겸,lawmaker,더불어민주당,국회 행정안전위원회,장관,,"김부겸 장관은 2016회계연도 행정안전부 결산과 예비비 집행 현황을 보고하며 재난안전 강화, 경찰 조직 개편, 민방위훈련 활성화 등 국민 안전과 행정 효율성 제고를 강조했다. 또한, 집회 관리와 공권력 행사 시 생존권 존중, 지방분권 추진 및 재정 분권 필요성을 언급하며 관련 제도 개선과 협의를 약속했다. 끝으로, 살충제 달걀 사태 등 국민 신뢰 회복을 위한 정부 차원의 조치와 투명한 정보 공개를 약속했다."
353회,김부년,government,,수석전문,위원,수석전문 위원,"김부년은 2016회계연도 행정안전부, 인사혁신처, 소방청 결산에서 예산 집행률은 높으나 실집행 저조, 과도한 예산 이·전용, 목적 외 사용, 과다 이월, 법령 미준수 사례가 발견되어 예산 집행의 적법성과 효율성 제고, 제도 개선 및 적정 예비비 편성 필요성을 강조하였다. 또한 공무원 교육과 연금 대부 운영 개선도 요청하였다."
353회,김영진,lawmaker,국민의당,국회 행정안전위원회,위원,,"김영진 위원은 지방행정기관과 교육기관의 인구 감소 및 조직 변화 필요성을 지적하며, 조정교부금 삭감 문제와 여성·청소년 보호 예산 편성의 불균형 문제에 대한 대책 마련을 요청했다. 또한, 해외 ODA 사업의 민주주의 지원 실태 점검과 인사혁신처장의 계획 발표를 요구했다."
353회,김영호,lawmaker,새누리당,국회 행정안전위원회,위원,,"김영호 의원은 노후 경찰헬기 현대화의 시급성을 강조하며, 결함이 많은 수리온(참수리) 헬기 납품 문제를 신중히 검토할 것을 요청했다. 또한, 수도권 지청장 비위 수사 지연과 영장청구 미흡 문제를 지적하며, 경찰이 적극적 수사와 영장청구로 신뢰 회복에 나설 것을 촉구했다."
353회,김판석,unknown,,,인사혁신처장,인사혁신처장,"김판석 인사혁신처장은 2016회계연도 결산과 예비비 사용 내역을 보고하며 공정한 인사관리와 혁신 가속화를 강조했다. 성과연봉제 확대에 신중한 입장을 밝히고, 공무원 교육훈련과 인사제도 ODA 사업 확대 계획을 설명했다. 비정규직 문제와 해외인력 채용 효율성 개선 등 현안에 대해 관계부처와 협력해 해결하겠다고 답변했다."
353회,박남춘,lawmaker,더불어민주당,국회 행정안전위원회,위원,,"박남춘 위원은 소방공무원 근속승진 차별 해소와 공공아이핀 운영비 과다 지출 문제, 주민번호 법정수집주의 미완료를 지적하며 정부 차원의 근본적 개선과 점검을 요청했다. 또한 정부3.0 예산 집행의 비효율성과 경찰 범칙금 과다 징수 문제를 문제 삼고, 소방안전교부세의 국고지원사업 전용 문제에 대해 시정을 요구했다."
353회,박성중,lawmaker,새누리당,국회 행정안전위원회,위원,,"박성중 의원은 스마트정부사업의 중복·유사 행정시스템과 앱 통합 필요성을 지적하며, 공공 앱 성과 측정 및 폐지 기준 마련을 촉구했다. 또한 해외공직자 설명회의 실효성 부족과 채용 실적 저조 문제를 문제 삼고, 경찰청 과태료 징수율 저조 및 속도위반 단속카메라의 교통사고 예방 효과 미미함을 들어 과태료 운영의 정당성 재검토와 개선을 요구했다."
353회,박순자,lawmaker,새누리당,국회 행정안전위원회,위원,,박순자 위원은 살충제 계란 문제에 대해 행안부 장관이 부처 간 책임 떠넘기기 없이 국민 안전을 위한 긴급 대책 회의를 소집할 것을 요청했다. 또한 선관위의 일반유권자 연수 사업이 법적 근거 없이 운영되고 있어 조속한 법제화와 예산 확대를 촉구했다. 국민 민주시민 의식 함양을 위한 교육 강화가 필요하다고 강조했다.
353회,소병훈,lawmaker,더불어민주당,국회 행정안전위원회,위원,,"소병훈 의원은 경찰 인권보호 조직과 예산이 부족하다며 내부 개편과 인권기념관 확대를 요청했고, 초등학교 보행로 미설치 문제에 대해 행안부의 예산 확대와 안전 대책 강화를 촉구했다. 또한 국민대통합위원회의 폐지에 아쉬움을 표하며 사회 갈등 치유를 위한 역할 재정립을 당부했다."
353회,위원장,unknown,,,柳在仲,柳在仲,"위원장은 장제원 위원의 상황 파악을 지시하고, 김영호 위원을 칭찬하며 자유한국당 박순자 위원에게 발언 차례를 넘겼다."
353회,유민봉,lawmaker,국민의당,국회 행정안전위원회,위원,,"유민봉 의원은 국가재난관리정보시스템의 지진가속도계측기 활용 미흡과 공공시설물 계측기 설치율 저조 문제를 지적하며, 국민 대피훈련의 실효성 강화와 비상대비정책 개선을 요청했다. 또한, 행정안전부의 지역별 인력 재배치 계획과 재난안전 컨트롤타워 기능 약화에 대한 우려를 표명했다. 마지막으로 중앙선거관리위원회의 예비금 사용 문제에 대해 3년간 반복된 지적에도 개선되지 않은 점을 문제 삼았다."
353회,윤재옥,lawmaker,새누리당,국회 행정안전위원회,위원,,"윤재옥 위원은 대통령의 균형인사 주장에 대해 대구·경북 지역 인사 비중이 낮다며 지역 민심을 반영한 인사가 필요하다고 지적했다. 경찰과 소방 조직 내 부적절한 인사 및 비리 문제를 엄정히 관리하고, 전문성 없는 정치색 인사에 대한 국민 신뢰 저하 우려를 전달하며 장관의 역할과 책임을 촉구했다."
353회,이명수,lawmaker,새누리당,국회 행정안전위원회,위원,,"이명수 의원은 살충제 계란 사태에서 행정안전부의 컨트롤타워 부재와 시행령 미이행 문제를 지적하며, 전자정부사업과 교부세 제도의 효율성 개선 및 인사혁신처의 혁신 부족을 문제 삼았다. 또한 경찰 인력 배치와 독도경비대장 직급 상향, 취약계층 보호 기능 강화 필요성을 요청했다. 관련 부처에 구체적 개선 방안과 자료 제출을 요구했다."
353회,이용호,lawmaker,더불어민주당,국회 행정안전위원회,위원,,"이용호 위원은 경찰 수뇌부의 권력 다툼과 낮은 신뢰도 문제를 지적하며 경찰 기강 확립과 근속승진 기간 단축, 처우 개선을 촉구했다. 또한 국민안전처 폐지 후 재난안전 홈페이지 구축 지연과 불우소외계층 격려 사업 예산 집행 문제에 대해 행안부의 신속한 대응과 예산 집행 기준 마련을 요청했다."
353회,이재정,lawmaker,더불어민주당,국회 행정안전위원회,위원,,"이재정 의원은 오촌살인 사건 재수사 필요성과 경찰의 미흡한 대응을 지적하며, 감찰담당관실의 감찰권 남용과 비위 내용 언론 유출 문제를 문제삼았다. 또한, 노동자 집회 철거와 화단 설치를 통한 집회권 제한 사례를 법원 판례와 비교하며 경찰과 행정의 부당성을 질타했다. 관련 기관의 적극적 조치와 명확한 입장 표명을 요구했다."
353회,이철성,government,,경찰,청장,경찰 청장,"이철성 발언은 2016년도 경찰청 예산 결산과 예비비 사용 내역을 설명하고, 최근 경찰의 불미스러운 사건에 대해 송구함을 표하며 재발 방지와 심기일전을 약속함. 인권 보호 강화, 여성·아동·가정폭력 예산 확대, 4차 산업 관련 과학수사 추진 등 정책 개선 의지를 밝힘. 또한 언론 보도와 감찰 논란에 대해 신중한 대응과 투명한 수사를 약속하고, 근속승진 기간 단축 등 내부 제도 개선에 위원회의 협조를 요청함."
353회,장제원,lawmaker,새누리당,국회 행정안전위원회,위원,,"장제원 위원은 경찰청 수뇌부의 내홍이 일선 경찰 사기에 악영향을 미친다며 이철성 청장의 재신임 또는 경질을 촉구했다. 지방재정 자주재원 확대를 위한 기재부와 행안부 간 협의 부재를 지적하며, 부수법안 반영과 장기 로드맵 수립을 요청했다. 건국절 논란에 대해서는 정부가 확정하기보다 학계에 맡겨 국민통합을 도모할 것을 강조하고, 중앙선관위의 업무추진비 지출 내역 자료 제출을 요구했다."
353회,조종묵,government,,소방,청장,소방 청장,"조종묵 소방청장은 2016회계연도 세입세출결산을 보고하며, 소방청이 육상재난 대응 책임기관으로서 국민 안전을 위해 국가재난 대응체계를 강화할 것임을 약속했다. 소방안전교부세로 소방차량 노후율을 제로화하고 개인장비 보유율 100%를 달성했으며, 제주감사회의 감사 결과에 따라 조치할 계획임을 밝혔다."
353회,진선미,lawmaker,더불어민주당,국회 행정안전위원회,위원,,"진선미 의원은 세종청사 용역 경비원의 성추행 논란과 관리시스템 전면 재검토를 요청했으며, 대형 산불 헬기 미동원 문제의 원인과 대책 보고를 요구했다. 또한, 유튜브 생중계 살해 협박 사건에 대한 경찰의 미온적 대응을 비판하고, 경찰병원 내 성희롱 문제와 가해자 재고용 관행에 대해 강한 문제 제기를 했다."
353회,천우정,government,,전문,위원,전문 위원,"천우정 전문위원은 여성 안전 강화, 범죄수익 환수 및 사이버수사 역량 강화를 경찰청 국가사업으로 추진할 필요성을 강조하고, 노후 청사 및 장비 개선을 위해 BTL 방식 도입과 관련 법 개정을 요청하였다. 또한 중앙선관위 투표편의성 증대와 예산집행 효율성 향상을 위한 사전투표소 위치 개선 및 청소근로자 직접고용 방안, BTL 적용 범위 확대를 제안하였다."
353회,표창원,government,,,위원,위원,"표창원 의원은 지방자치단체의 재정 집행률 저조 문제와 분권형 개헌 대비 행안부의 관리·감독 강화 및 평가 공개를 요청했다. 재난 대응 체계 개선과 국과수 증거보관 시스템 확충, 과학수사 지원 강화를 강조했다. 또한 공무원 인사 혁신과 정규직·비정규직 직무분석을 통한 효율적 인력 운영 필요성을 제기했다."
353회,홍철호,lawmaker,국민의당,국회 행정안전위원회,위원,,"홍철호 의원은 교사 임용 대기자 문제 해결을 위해 국가재정법 개정과 중장기 재정계획 수립을 촉구하며, 스쿨존 안전 강화와 음주 관련 범죄에 대한 엄정 대응 필요성을 강조했다. 또한 AI 살처분 보상금 감액 문제와 지자체 부담 경감을 위해 중앙정부 차원의 방역부담금 도입을 요청했다."
353회,柳在仲,government,,,위원장,위원장,"353회 행정안전위원회 회의에서 2016회계연도 결산 및 예비비지출 승인의 건을 심사하며, 경찰청 내분 사태에 대한 대국민 사과와 수습 경과를 주목하고, 반복되는 예산 집행 문제와 재정동의권 침해 관행 개선을 요청하였다. 질의응답은 5개 부처를 일괄 진행했으며, 심도 있는 심사를 위해 안건을 예결산심사소위원회에 회부하기로 하였다."
353회,강석호,lawmaker,새누리당,국회 행정안전위원회,위원,,"강석호 위원은 공무원연금기금 장기 재정소요 추계 방안과 관련해 인사혁신처가 연구용역을 실시하는 점을 언급하며, 추계 시기를 연말에서 내년 예산 편성 전으로 앞당길 것을 요청했다. 또한, 공무원 증원 추계의 필요성을 강조하며 불확실성 해소를 촉구했다."
353회,권은희,lawmaker,국민의당,국회 행정안전위원회,위원,,권은희 의원은 동장 공모제의 선거 영향 우려와 관련해 국회와의 소통 및 청와대 차원의 진상규명을 요구했다. 또한 경찰청 사건수사비가 특수활동비로 편성돼 예산 집행에 어려움이 있으니 일반예산 전환을 위한 국회 차원의 절차 진행을 촉구했다.
353회,김대년,government,,중앙선거관리위원회,사무총장,중앙선거관리위원회 사무총장,"김대년은 2016회계연도 세입세출결산 의결에 감사하며, 심의 중 제기된 지적을 향후 업무계획에 적극 반영할 것을 약속했다. 또한 위원회의 지속적인 관심과 지원을 요청했다."
353회,김영진,lawmaker,국민의당,국회 행정안전위원회,위원,,"김영진 의원은 대통령기록물의 지정 및 처리 기준이 불명확한 상황에서 국가기록원이 임의로 자료를 처리하는 법적 근거와 절차를 질의했다. 특히, 지정되지 않은 기록물의 국회 제출 의무와 공개 기준에 대해 명확한 규정 마련을 요청했다. 이후 공식 자료 제출 요구에 대한 답변을 받고 추가 질의를 진행할 계획임을 밝혔다."
353회,김영호,lawmaker,새누리당,국회 행정안전위원회,위원,,"김영호 의원은 국민재난안전포털이 지진과 민방위훈련 시 접속 폭주로 반복적으로 다운되는 문제를 지적하며, 개선 약속에도 불구하고 같은 문제가 재발한 점을 비판했다. 이는 단순 기술 문제가 아니라 공직자의 기강 문제로 보고, 재발 방지를 강력히 요청했다."
353회,김판석,unknown,,,인사혁신처장,인사혁신처장,"김판석은 공무원연금 개혁이 인사혁신처 단독으로 어려워 기재부, 행안부, 연금공단과 협의 및 연구용역을 추진하겠다고 설명했다. 예산 심사 과정에서 지적된 사항을 정책에 반영하고, 위원들의 협조에 감사함을 표했다. 또한 경찰·소방 계급명칭 차이 문제를 개혁 시 검토해 줄 것을 요청했다."
353회,박남춘,lawmaker,더불어민주당,국회 행정안전위원회,위원,,박남춘 의원은 경찰 승진 기간 단축을 환영하면서도 7년 단축이 헌법상 평등권에 부합하고 재정 부담도 크지 않다며 아쉬움을 표했다. 특히 하위 계급인 순경에서 경장 승진 기간이 덜 줄어 현장 경험과 자부심 형성에 어려움이 있다고 지적했다. 향후 순경과 소방사에 대한 추가 배려와 개선을 요청했다.
353회,박성중,lawmaker,새누리당,국회 행정안전위원회,위원,,박성중 의원은 해외 공직자 설명회 과다 지출과 국가인재DB 관리 부실을 지적하며 인사혁신처장의 적극적 개선을 요청했다. 행안부 정책포털의 중복과 비효율 문제를 언급하며 통합과 효율화 추진을 강조했다. 또한 경찰청에 과태료 징수율 저조 문제와 과속단속장비 설치 적정성 재검토 및 국민 심리 반영 대책 마련을 요구했다.
353회,박순자,lawmaker,새누리당,국회 행정안전위원회,위원,,"박순자는 민방위 훈련의 실질적 참여와 국민 공감이 부족한 문제를 지적하며, 형식적 훈련에서 벗어나 주민 참여를 높여야 한다고 강조했다. 또한, 안전디딤돌 앱 등 홍보 수단의 문제점과 행안부의 소극적 대응을 비판하며 적극적인 개선과 홍보 강화를 요청했다. 국민 불안 해소를 위해 실효성 있는 민방위 훈련이 필요하다고 당부했다."
353회,심보균,government,,행정안전부,차관,행정안전부 차관,"심보균 발언은 재난문자 이양 후 표준체계 구축과 기록물 분류·공개 절차 진행 상황을 설명하며, 시스템 문제 개선과 민방위 훈련 강화, 주민 참여 확대를 약속함. 또한, 지적사항을 반영해 예산 집행과 정책 수립에 적극 반영하겠다고 답변함."
353회,위원장,unknown,,,柳在仲,柳在仲,"경찰·소방공무원의 근속승진 관련 법률안 8건을 소위원회 심사 후 의사일정에 추가 상정하고 일괄 의결하였다. 일부 법률안은 통합·조정해 위원회 대안으로 제안하였으며, 비용추계서와 축조심사는 생략되었다. 정부 측 경찰청장과 소방청장이 법률안 통과에 대해 인사말을 하였다."
353회,유민봉,lawmaker,국민의당,국회 행정안전위원회,위원,,"유민봉 의원은 식품안전이 행정안전부의 협업·조정 대상인지 명확히 검토할 것을 요청하며, 국가기록물에 포함된 전자문서의 관리 실태와 청와대의 기록물 공개 절차 문제를 지적했다. 행정안전부의 철저한 관리감독을 주문하며 후속 질의를 예고했다."
